time/fps,time/total_timesteps,time/episodes,train/learning_rate,train/critic_loss,time/time_elapsed,rollout/success_rate,train/actor_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
111,11709,1790,0.001,0.000975087154074572,104,1.0,0.10459288954734802,11638,-0.31339191000000005,3.36
111,11747,1800,0.001,0.0008084893634077162,104,1.0,0.10669808834791183,11680,-0.32510915999999995,3.42
111,11772,1810,0.001,0.0011571439487549167,105,1.0,0.16171739995479584,11706,-0.30270546,3.27
111,11808,1820,0.001,0.0013667186722159386,105,1.0,0.1274872124195099,11737,-0.30858120000000006,3.28
111,11837,1830,0.001,0.0011294743744656444,105,1.0,0.10439504683017731,11771,-0.2877102,3.15
111,11887,1840,0.001,0.0019114473446582754,106,1.0,0.11457236856222153,11816,-0.31762435,3.39
111,11925,1850,0.001,0.001002236851491034,106,1.0,0.12838835641741753,11854,-0.31140959,3.36
111,11969,1860,0.001,0.0005985836808880171,106,1.0,0.11445476114749908,11900,-0.32599683,3.5
111,12000,1870,0.001,0.0009151987032964826,107,1.0,0.16535380482673645,11933,-0.32447221000000004,3.5
111,12039,1880,0.001,0.0008054072483597944,107,1.0,0.10245843604207039,11972,-0.34747765999999997,3.65
111,12071,1890,0.001,0.001406096387654543,107,1.0,0.08719188719987869,12004,-0.3435539700000001,3.62
111,12114,1900,0.001,0.000807403595120247,108,1.0,0.10806094482541084,12042,-0.3478070800000001,3.67
111,12151,1910,0.001,0.0012656045437324792,108,1.0,0.16872085630893707,12083,-0.36704374,3.79
111,12185,1920,0.001,0.0007746420305920765,109,1.0,0.1087135300040245,12119,-0.35962884999999994,3.77
111,12221,1930,0.001,0.0005824780091643333,109,1.0,0.10119582712650299,12151,-0.37061392,3.84
111,12250,1940,0.001,0.0005761354987043887,109,1.0,0.1788872480392456,12185,-0.34235301999999995,3.63
111,12286,1950,0.001,0.0016094673483166844,110,1.0,0.074778251349926,12221,-0.34275427,3.61
111,12314,1960,0.001,0.0005694119026884437,110,1.0,0.12925886362791061,12247,-0.32549247000000003,3.45
111,12359,1970,0.001,0.000752847408875823,110,1.0,0.15602636337280273,12294,-0.3454420299999999,3.59
111,12386,1980,0.001,0.0006121942715253681,110,1.0,0.09025440365076065,12320,-0.32685892000000005,3.47
111,12430,1990,0.001,0.0010775793925859034,111,1.0,0.1110493540763855,12363,-0.34542553000000015,3.59
111,12465,2000,0.001,0.0004832110716961324,111,1.0,0.10002466291189194,12395,-0.33201524000000004,3.51
111,12500,2010,0.001,0.000795714712391297,112,1.0,0.1110084056854248,12434,-0.32836687,3.49
111,12542,2020,0.001,0.0009801115763063233,112,1.0,0.11794368922710419,12476,-0.34321954000000005,3.57
111,12577,2030,0.001,0.0008836860797600821,112,1.0,0.1420285776257515,12512,-0.34119383,3.56
111,12613,2040,0.001,0.0009165335359284654,113,1.0,0.1393718644976616,12546,-0.35067321,3.63
111,12651,2050,0.001,0.0015704309334978461,113,1.0,0.19811610877513885,12582,-0.3511035999999999,3.65
111,12686,2060,0.001,0.0010734408278949559,113,1.0,0.1198342777788639,12616,-0.3632647599999999,3.72
111,12715,2070,0.001,0.0011788402334786952,114,1.0,0.10815642029047012,12648,-0.33892351000000004,3.56
111,12755,2080,0.001,0.0011698720045387745,114,1.0,0.09585050493478775,12685,-0.3559817699999999,3.69
111,12800,2090,0.001,0.0007919403869891539,114,1.0,0.13332315161824226,12731,-0.35433545,3.7
111,12838,2100,0.001,0.0008863021968863905,115,1.0,0.08869116008281708,12769,-0.35921651,3.73
111,12871,2110,0.001,0.0008046052244026214,115,1.0,0.09045305103063583,12804,-0.35781859999999993,3.71
111,12916,2120,0.001,0.0012686042609857395,116,1.0,0.1412008050829172,12848,-0.35907947999999995,3.74
111,12953,2130,0.001,0.000663622876163572,116,1.0,0.11149268969893456,12883,-0.36186929,3.76
111,12986,2140,0.001,0.0023885597474873066,116,1.0,0.1056249588727951,12917,-0.36122287999999997,3.73
111,13023,2150,0.001,0.0009740414347366563,117,1.0,0.12019345164299011,12956,-0.3622019,3.72
111,13067,2160,0.001,0.0007752107824975004,117,1.0,0.1191556304693222,12999,-0.3714881500000001,3.81
111,13103,2170,0.001,0.0007487531838705763,117,1.0,0.16104742884635925,13031,-0.38068461,3.88
111,13134,2180,0.001,0.0008009410958038643,118,1.0,0.1031137965619564,13066,-0.3690437000000001,3.79
111,13162,2190,0.001,0.0006672531987229983,118,1.0,0.1261650174856186,13095,-0.34699776,3.62
111,13197,2200,0.001,0.0007903376827016473,118,1.0,0.13240613043308258,13131,-0.34299329,3.59
111,13233,2210,0.001,0.0006900437680693964,119,1.0,0.11791076511144638,13167,-0.34575610999999995,3.62
111,13281,2220,0.001,0.0008539977134205401,119,1.0,0.11940752466519673,13212,-0.3498854600000001,3.65
111,13311,2230,0.001,0.0009323845952167176,119,1.0,0.11667350307106972,13242,-0.3423745600000001,3.58
110,13339,2240,0.001,0.000476319866720587,120,1.0,0.14883629232645035,13273,-0.33315786,3.53
110,13388,2250,0.001,0.0011009745649062097,120,1.0,0.13845248520374298,13321,-0.34839798,3.65
110,13422,2260,0.001,0.0010458266362547875,121,1.0,0.14330334216356277,13355,-0.33344163000000004,3.55
110,13471,2270,0.001,0.0006621268500263492,121,1.0,0.09312873582045238,13402,-0.35192957999999996,3.68
110,13498,2280,0.001,0.0015329156497803826,122,1.0,0.14500080421566963,13432,-0.3456056700000001,3.64
110,13534,2290,0.001,0.0008755610324442387,122,1.0,0.08294079452753067,13467,-0.35767835,3.72
110,13567,2300,0.001,0.001053414074704051,122,1.0,0.1141943633556366,13501,-0.35778562,3.7
110,13592,2310,0.001,0.0007090871513355523,123,1.0,0.0851832926273346,13526,-0.3420543299999999,3.59
110,13622,2320,0.001,0.0010806264472194016,123,1.0,0.1345459669828415,13556,-0.32054735,3.41
110,13660,2330,0.001,0.0007890090229921043,123,1.0,0.14305206015706062,13591,-0.330374,3.49
110,13684,2340,0.001,0.0006716673087794334,123,1.0,0.11164182424545288,13617,-0.32185983,3.45
110,13716,2350,0.001,0.0010231433843728155,124,1.0,0.14725883305072784,13647,-0.29727957000000005,3.28
110,13758,2360,0.001,0.0010454137227497995,124,1.0,0.16904643177986145,13688,-0.30915379000000004,3.36
110,13783,2370,0.001,0.001854241214459762,124,1.0,0.11049816757440567,13716,-0.2779265,3.12
110,13818,2380,0.001,0.0008358883205801249,125,1.0,0.08358984440565109,13749,-0.28929796,3.2
110,13863,2390,0.001,0.0009212439666346958,125,1.0,0.10475442558526993,13797,-0.30115289,3.29
110,13896,2400,0.001,0.0008901291876100004,125,1.0,0.1314747929573059,13828,-0.2974391,3.29
110,13939,2410,0.001,0.0006456868723034859,126,1.0,0.1681140810251236,13868,-0.31945879999999993,3.47
110,13969,2420,0.001,0.0006529223755933344,126,1.0,0.11987100541591644,13903,-0.31786573,3.47
110,14008,2430,0.001,0.0017059998819604516,127,1.0,0.11467195674777031,13939,-0.31846603,3.48
110,14035,2440,0.001,0.0006493496475741267,127,1.0,0.10663356259465218,13969,-0.32277501999999997,3.51
110,14064,2450,0.001,0.0007228883526598414,127,1.0,0.13955096900463104,13997,-0.32135952,3.48
110,14091,2460,0.001,0.0008816992825207611,127,1.0,0.10959705710411072,14025,-0.302145,3.33
110,14134,2470,0.001,0.0007124410864586631,128,1.0,0.12331204861402512,14067,-0.32738837,3.51
110,14165,2480,0.001,0.0007954439497552812,128,1.0,0.10791194438934326,14098,-0.32403339000000003,3.47
110,14193,2490,0.001,0.0005125051247887313,128,1.0,0.10524390637874603,14127,-0.29834109,3.3
110,14228,2500,0.001,0.000746957034737404,129,1.0,0.13411842534939447,14161,-0.30170529,3.32
110,14260,2510,0.001,0.0004538882349152118,129,1.0,0.11869952827692032,14195,-0.28742819000000003,3.21
110,14294,2520,0.001,0.0008674762793816626,129,1.0,0.16945677995681763,14228,-0.29228357000000005,3.25
110,14332,2530,0.001,0.0008572144724894315,130,1.0,0.11966218799352646,14262,-0.29073032,3.24
110,14368,2540,0.001,0.000792749022366479,130,1.0,0.1359749734401703,14302,-0.30051521,3.33
